DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPhie;nmrPhiT;nmrPerm;PE;RES10;RES90
2199,85;12,3445;2,3778;68,3888;124,0578;13,2759;0,2074;0,1352;0,1606;0,161;184,1794;5,6166;683,4783936;1129,7078
2200,0024;12,341;2,3669;69,3629;124,8013;13,585;0,2232;0,1354;0,1598;0,1601;198,7845;5,5436;730,1166992;1281,0323
2200,1548;12,3375;2,3654;69,2225;124,8766;12,8064;0,2256;0,1357;0,159;0,1591;215,5435;5,3768;763,9174194;1365,1101
2200,3072;12,3348;2,367;68,7462;123,9359;12,6819;0,214;0,1401;0,1603;0,1603;316,9118;5,2141;794,1193237;1240,7078
2200,4596;12,3367;2,3704;67,5677;123,4022;11,7548;0,2026;0,1343;0,1545;0,1545;251,8568;5,1609;812,2706299;1330,4468
2200,612;12,3361;2,3804;66,4758;123,3543;11,3962;0,192;0,1311;0,1523;0,1523;205,2365;5,1954;799,003418;1423,1062
2200,7644;12,3359;2,3906;67,076;122,3456;11,6365;0,1987;0,1297;0,1521;0,1534;165,5473;5,2502;814,8378296;1329,2296
2200,9168;12,3424;2,3968;67,2438;120,3588;11,9321;0,1966;0,1283;0,1519;0,1545;136,4838;5,2549;831,0950928;1523,743
2201,0692;12,3536;2,4017;67,0565;119,3323;12,538;0,1962;0,1263;0,1506;0,1577;100,6068;5,2078;823,777771;1575,7311
2201,2216;12,3605;2,4076;66,6132;120,1213;12,9844;0,1848;0,1232;0,1474;0,1572;80,0269;5,1615;864,1273804;1575,7311
2201,374;12,3667;2,4105;66,5852;123,0731;13,7533;0,1868;0,1232;0,144;0,1498;108,3751;5,1614;833,3328247;1763,9758
2201,5264;12,4037;2,4068;67,3141;125,9298;13,7533;0,188;0,1259;0,1445;0,1492;145,1545;5,2007;839,7335815;1708,0837
2201,6788;12,4584;2,4018;67,224;124,8432;14,6316;0,1947;0,1287;0,1451;0,1487;202,126;5,2205;797,4577026;1208,8202
2201,8312;12,5079;2,3964;66,1852;120,9725;14,0478;0,1989;0,1395;0,1523;0,1574;375,9736;5,2114;775,8981934;1271,3953
2201,9836;12,5305;2,3974;66,0428;117,7139;14,2835;0,2017;0,1392;0,1497;0,16;292,8578;5,1632;792,0767822;1163,1484
2202,136;12,5098;2,4019;66,4855;115,9805;12,843;0,2027;0,1323;0,1422;0,1546;200,9783;5,1179;808,4597778;1224,0239
2202,2884;12,5249;2,4136;66,7755;117,1007;12,7057;0,1965;0,129;0,1398;0,1509;180,6246;5,0673;802,2794189;1423,1062
2202,4408;12,5443;2,4189;66,3233;120,1422;12,6235;0,1953;0,1258;0,1373;0,1472;161,8676;5,0565;797,171875;1301,6366
2202,5932;12,573;2,4164;65,9951;122,9269;12,3273;0,1834;0,1215;0,1368;0,1418;144,9716;5,0742;775,9014282;1191,0079
2202,7456;12,6535;2,4093;66,6162;124,8313;12,0869;0,1768;0,1251;0,1432;0,1442;184,5301;5,1145;776,8171997;1191,0079
2202,898;12,7037;2,4041;66,8358;125,4952;11,9839;0,1838;0,1238;0,146;0,146;141,3206;5,1709;738,0283203;1068,4293
2203,0504;12,7519;2,3997;66,2748;125,3167;12,1119;0,1897;0,1243;0,1476;0,1476;134,9335;5,2663;721,9238281;1158,913
2203,2028;12,7717;2,3964;65,3339;123,6335;13,348;0,1918;0,1248;0,1493;0,1493;129,378;5,4095;657,8742065;1112,2001
2203,3552;12,7707;2,4025;64,5652;120,5544;13,7944;0,1803;0,1245;0,1501;0,1501;120,2185;5,5062;636,7689209;964,5179
2203,5076;12,7743;2,4123;64,4137;117,8202;14,7707;0,1854;0,1212;0,1438;0,1438;123,805;5,5088;629,0078735;1024,519
2203,66;12,7783;2,417;64,3744;116,6532;14,939;0,1929;0,1264;0,1442;0,1442;218,3952;5,4346;583,911377;1008,1451
2203,8124;12,8033;2,41;64,141;117,0423;15,351;0,1955;0,1292;0,1456;0,1456;278,2731;5,3722;538,5322876;853,3564
2203,9648;12,8155;2,4049;63,9264;117,0157;15,586;0,1906;0,132;0,1471;0,1471;358,9068;5,3283;542,5244141;847,358
2204,1172;12,8297;2,4071;63,362;115,1083;14,6118;0,1851;0,1286;0,1459;0,1459;252,4151;5,2974;475,1881104;692,0544
2204,2696;12,8355;2,4187;62,5446;110,5941;14,0059;0,1763;0,1143;0,1368;0,1368;90,61;5,2735;471,2806091;691,4091
2204,422;12,8464;2,4463;59,3399;104,9435;13,0444;0,1602;0,0886;0,1149;0,1209;16,1332;5,2046;462,7981873;664,2651
2204,5744;12,8123;2,4875;56,4536;98,6544;13,0605;0,1305;0,0761;0,1011;0,1102;7,3484;5,0239;456,8313904;681,5736
2204,7268;12,7731;2,5434;54,854;93,9674;13,2888;0,0965;0,0636;0,0873;0,0995;3,0692;4,6771;419,9525146;617,2247
2204,8792;12,5945;2,5876;54,1171;90,8827;14,1444;0,0737;0,0469;0,0684;0,0817;0,8113;4,3915;405,3685913;587,939
2205,0316;12,4775;2,6212;53,6528;89,0164;13,8354;0,066;0,041;0,0599;0,0683;0,4881;4,3173;403,7907104;596,1344
2205,184;12,501;2,6376;53,5964;88,566;12,3561;0,0722;0,045;0,0641;0,0645;0,9187;4,4755;423,6781006;664,5517
2205,3364;12,5113;2,648;54,3751;89,8037;11,2944;0,0748;0,0493;0,067;0,0672;1,549;4,559;443,0805969;681,5736
2205,4888;12,53;2,6432;55,9661;93,2937;11,2257;0,083;0,0536;0,0699;0,0699;2,5984;4,4887;448,1877136;681,5736
2205,6412;12,6069;2,6098;57,6425;98,0723;12,1556;0,0966;0,066;0,0801;0,0801;9,0878;4,4507;435,6624146;681,5736
2205,7936;12,6676;2,5632;58,3652;102,6679;11,5396;0,1131;0,0705;0,0873;0,0873;10,1972;4,5932;445,3760071;674,3419
2205,946;12,6979;2,5241;59,0563;107,0136;10,8872;0,1318;0,075;0,0936;0,0936;12,4892;4,8292;447,3624878;600,1927
2206,0984;12,7383;2,5102;59,7602;109,332;10,535;0,1442;0,0827;0,1006;0,1006;21,9124;4,9388;437,0054932;610,8627
2206,2508;12,7852;2,504;60,8551;109,6112;10,7033;0,1647;0,0904;0,1075;0,1075;37,1954;4,9599;420,9981995;567,7558
2206,4032;12,7977;2,4942;61,7588;110,0361;10,7377;0,1729;0,1117;0,1258;0,1258;156,7827;4,986;423,1080017;552,213
2206,5556;12,824;2,4851;62,1755;112,138;10,5747;0,1706;0,1202;0,1323;0,1362;193,041;5,0358;425,2283936;537,0939
2206,708;12,8296;2,4876;62,2784;112,7191;10,9538;0,1568;0,1143;0,126;0,1368;90,3074;5,0237;429,4478149;563,4163
2206,8604;12,8082;2,501;61,626;111,557;11,0898;0,1527;0,1114;0,1255;0,1371;66,1727;4,9308;421,4638062;582,4235
2207,0128;12,7335;2,5126;60,9944;110,1635;10,609;0,149;0,1085;0,125;0,1375;50;4,8589;401,805603;557,7766
2207,1652;12,7063;2,5259;60,3913;108,0533;10,7464;0,1365;0,1002;0,1198;0,1296;32,7002;4,8094;393,6593933;583,3447
2207,3176;12,683;2,5424;60,0891;106,2682;11,1696;0,1071;0,0934;0,1135;0,1237;22,3633;4,7588;390,9049988;543,0479
2207,47;12,6277;2,555;60,1611;104,0981;11,41;0,0922;0,0905;0,108;0,1188;20,3851;4,6899;381,7685852;469,1723
2207,6224;12,6177;2,5492;60,0974;102,3926;12,0624;0,1001;0,0944;0,112;0,1195;28,6436;4,6904;336,1928101;459,811
2207,7748;12,6345;2,5292;60,4475;103,4565;12,2788;0,1269;0,0982;0,116;0,1203;41,3573;4,7909;310,0463867;406,0619
2207,9272;12,6667;2,508;61,2337;111,987;12,3818;0,1527;0,1024;0,1227;0,1227;57,9855;4,937;304,0786133;404,295
2208,0796;12,7082;2,4917;62,1132;114,8518;11,6607;0,1664;0,1094;0,1337;0,1337;64,7957;5,041;288,7392883;379,0497
2208,232;12,7311;2,4784;63,3166;115,5267;11,7779;0,177;0,1157;0,1411;0,1411;82,5473;5,0747;272,4310913;353,8665
2208,3844;12,7274;2,4653;63,2892;116,9855;12,4646;0,1762;0,1128;0,1356;0,1356;82,8195;5,0987;259,953186;346,46
2208,5368;12,7304;2,461;62,8895;116,6788;13,3161;0,1613;0,1099;0,1302;0,1302;84,5497;5,1252;243,2545013;322,9688
2208,6892;12,7186;2,493;61,4917;115,483;14,03;0,1281;0,0869;0,102;0,1033;31,8577;5,1042;233,7682953;313,3592
2208,8416;12,6468;2,5396;60,5013;111,3872;14,2921;0,0947;0,0659;0,0772;0,0779;11,0396;4,9062;227,8495941;306,4338
2208,994;12,5457;2,5681;60,6881;104,6704;13,5563;0,0794;0,058;0,0674;0,0687;6,5461;4,6181;219,7702942;295,9052
2209,1464;12,4502;2,5584;58,2901;97,3783;13,3918;0,0734;0,0551;0,0682;0,0709;3,0424;4,4752;204,5876007;274,6572
2209,2988;12,4537;2,5568;57,1962;93,7186;14,0225;0,0699;0,0521;0,0689;0,0732;1,7565;4,5011;194,8347931;253,9444
2209,4512;12,4479;2,5896;55,0005;91,9663;16,9629;0,063;0,0368;0,0606;0,0699;0,2954;4,5594;163,9801025;218,6562
2209,6036;12,4605;2,6306;53,9786;89,7298;18,883;0,0638;0,0272;0,0554;0,0638;0,0913;4,5103;134,3235016;177,1563
2209,756;12,5128;2,6487;53,8401;85,927;19,9819;0,069;0,0288;0,0568;0,0616;0,1103;4,4656;120,2446976;161,7858
2209,9084;12,5507;2,6422;53,1492;82,8697;17,8529;0,0772;0,0292;0,0594;0,0649;0,1182;4,5253;125,0328979;169,4706
2210,0608;12,5713;2,6382;52,3036;84,0695;16,3435;0,0757;0,0296;0,062;0,0683;0,1269;4,6157;123,3920975;169,1608
2210,2132;12,7764;2,6472;52,1291;87,7465;14,2636;0,0669;0,0266;0,0692;0,0744;0,095;4,6552;121,6335983;163,7336
2210,3656;12,6126;2,6592;53,9627;91,3382;15,0534;0,0538;0,0252;0,074;0,079;0,0855;4,6493;113,5482025;154,0564
2210,518;12,7466;2,6638;55,5974;91,5442;16,8059;0,0542;0,0299;0,0748;0,0811;0,1468;4,6321;105,8778992;144,5059
2210,6704;12,5968;2,6553;56,4995;89,8146;20,9704;0,0707;0,0314;0,0712;0,0795;0,1704;4,6301;92,34980011;125,653
2210,8228;12,5218;2,6459;55,9485;89,529;24,0993;0,0855;0,033;0,0676;0,0778;0,1983;4,5736;81,20110321;111,714
2210,9752;12,4976;2,6444;54,786;89,687;24,8548;0,092;0,0325;0,061;0,0795;0,1904;4,4766;72,96779633;101,9568
2211,1276;12,4733;2,6526;53,8906;88,9851;25,3913;0,0928;0,0293;0,0534;0,0679;0,1231;4,4175;71,51799774;99,1019
2211,28;12,4234;2,6767;53,4839;86,5887;26,0038;0,0836;0,0247;0,046;0,0503;0,0598;4,4258;73,42240143;102,1034
2211,4324;12,4178;2,6929;54,4772;84,1137;27,3527;0,0675;0,0227;0,0428;0,045;0,0424;4,546;72,1427002;99,4981
2211,5848;12,4028;2,6935;55,3761;85,2564;29,2039;0,0462;0,0206;0,0396;0,0396;0,0292;4,7346;66,25050354;92,8713
2211,7372;12,3848;2,6731;56,6942;87,853;33,0312;0,0371;0,0206;0,043;0,043;0,0288;5,0188;58,82089996;80,6418
2211,8896;12,3551;2,6541;57,6154;90,2433;37,5453;0,0533;0,0296;0,0601;0,0602;0,1232;5,2881;58,17720032;81,2687
2212,042;12,3544;2,6434;58,1376;92,4992;36,624;0,0763;0,0471;0,0802;0,0814;0,8263;5,4159;60,99250031;86,1758
2212,1944;12,353;2,6284;58,6521;94,7326;32,5821;0,0966;0,0524;0,0843;0,0852;1,3421;5,3628;67,93289948;92,6991
2212,3468;12,3523;2,6085;58,2563;96,8321;27,5776;0,0993;0,0577;0,0883;0,089;2,1273;5,21;69,61840057;97,1405
2212,4992;12,357;2,5972;57,6193;97,9525;26,011;0,0934;0,0563;0,0801;0,0801;2,312;5,0718;67,07620239;93,0217
2212,6516;12,3529;2,5996;57,2152;97,8179;25,2241;0,0808;0,0478;0,073;0,073;1,0157;4,9959;65,44090271;92,1563
2212,804;12,352;2,6105;57,5723;98,4598;25,868;0,0693;0,0434;0,0692;0,0717;0,6235;4,9521;62,0923996;87,178
2212,9564;12,3513;2,6089;58,6735;99,0491;28,4003;0,0804;0,048;0,0733;0,0758;0,9842;4,9617;67,12830353;92,969
2213,1088;12,3514;2,5955;59,4088;101,0748;28,6842;0,1026;0,0526;0,0775;0,08;1,5077;5,0113;85,2098999;113,3807
2213,2612;12,3503;2,5695;60,6751;104,2691;26,8242;0,1259;0,0715;0,0942;0,096;7,2071;5,119;99,81900024;133,2439
2213,4136;12,35;2,5325;62,1711;108,8353;22,0845;0,137;0,0921;0,1117;0,1117;34,1855;5,2793;134,5462952;170,5556
2213,566;12,3517;2,4899;64,0975;113,6545;18,861;0,1471;0,108;0,1243;0,1265;87,3732;5,4384;145,4546967;184,6734
2213,7184;12,3495;2,4531;65,2923;117,1645;16,5718;0,1602;0,1142;0,1292;0,1328;116,6201;5,5607;151,8914032;190,756
2213,8708;12,3509;2,4334;65,7505;118,4363;15,6601;0,167;0,1204;0,1342;0,1392;153,3614;5,6186;171,6999054;216,6171
2214,0232;12,3525;2,4321;65,2692;119,2016;16,6762;0,1712;0,127;0,1409;0,1449;221,7374;5,6169;184,4537048;233,1917
