DEPTH;CAL;DEN;DTC;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2234,0576;12,2642;2,7037;49,7095;18,8134;0,0272;0,0156;0,0099;0,0236;0,0273;3,9565;219,5986;67,76799774
2234,21;12,2786;2,6973;50,8369;22,8067;0,0353;0,0216;0,0515;0,0283;0,0305;3,9157;197,0201;66,1135025
2234,3624;12,2801;2,6948;51,4414;25,8677;0,0911;0,0251;0,105999999;0,0311;0,034;3,9417;173,7344;61,68849945
2234,5148;12,2643;2,6983;51,0745;26,8575;0,1149;0,0264;0,138099998;0,0312;0,0353;4,0707;148,3719;54,77640152
2234,6672;12,2735;2,705;49,6651;27,0301;0,0936;0,0248;0,096799999;0,0294;0,034;4,3029;143,9251;51,36619949
2234,8196;12,277;2,7119;49,2912;25,3028;0,0791;0,0182;0,0187;0,0257;0,0315;4,5781;136,7815;51,02619934
2234,972;12,3032;2,7188;50,6309;22,2458;0,0629;0,0103;0,0021;0,0215;0,0279;4,7898;102,5551;43,09930038
2235,1244;12,2856;2,7232;53,8718;20,927;0,0613;0,0058;0,0004;0,0197;0,0267;4,7045;61,4205;28,64599991
2235,2768;12,2904;2,6995;59,7537;22,4089;0,091;0,0033;1,00E-04;0,0195;0,0276;4,4274;33,7106;18,97900009
2235,4292;12,2948;2,6644;62,8746;22,8714;0,1254;0,0015;0;0,019;0,0295;4,2328;16,7713;13,52700043
2235,5816;12,3026;2,6454;62,4998;22,6074;0,1588;0,0007;0;0,0174;0,0269;4,2305;11,7708;10,85630035
2235,734;12,3023;2,6622;60,2972;19,7124;0,1415;0,0002;0;0,0161;0,0247;4,3008;13,6887;11,9119997
2235,8864;12,3008;2,6745;56,7849;18,653;0,102;0;0;0,0166;0,0258;4,3253;20,134;15,4520998
2236,0388;12,3224;2,6818;55,406;16,2736;0,0744;0;0;0,0177;0,0278;4,3537;29,9982;17,34149933
2236,1912;12,3342;2,676;55,3747;14,0906;0,0489;0,0009;0;0,0217;0,0368;4,3928;31,6323;20,02860069
2236,3436;12,3703;2,6805;55,2607;12,534;0,0658;0,0015;0;0,027;0,0438;4,3338;29,7308;20,92130089
2236,496;12,3681;2,6648;55,9641;12,7764;0,0732;0,0058;0,0008;0,033;0,0436;4,1914;25,9009;20,5196991
2236,6484;12,3359;2,6459;56,7352;13,1062;0,0808;0,0085;0,0021;0,0356;0,0433;4,0758;21,8655;19,57439995
2236,8008;12,3438;2,625;56,0847;15,0416;0,1052;0,0107;0,0038;0,0374;0,0434;4,0309;19,3003;18,83709908
2236,9532;12,3651;2,6275;55,5497;14,459;0,1005;0,009;0,0024;0,035;0,0428;3,9114;23,3328;22,9654007
2237,1056;12,3578;2,6391;54,6245;14,8135;0,0691;0,006;0,0009;0,0298;0,0422;3,7174;33,7506;28,97369957
2237,258;12,3527;2,6416;54,7557;13,134;0,0495;0,0047;0,0006;0,0289;0,0462;3,5556;46,9219;35,3844986
2237,4104;12,3481;2,6319;56,3727;12,627;0,0417;0,0046;0,0006;0,0289;0,0465;3,5676;35,4361;31,03160095
2237,5628;12,3351;2,6115;57,8177;12,7138;0,0603;0,0046;0,0006;0,0289;0,0465;3,6984;28,2308;25,62229919
2237,7152;12,3336;2,6019;60,4922;13,8701;0,0791;0,0053;0,0011;0,0346;0,0581;3,8758;20,202;22,06170082
2237,8676;12,3508;2,5961;62,5223;14,9401;0,1027;0,0059;0,0023;0,0399;0,075;4,0906;15,9774;19,14489937
2238,02;12,382;2,5974;66,8901;14,8774;0,1341;0,0062;0,0031;0,0414;0,0828;4,3342;11,8801;13,99699974
2238,1724;12,4014;2,6082;69,3343;14,3871;0,1502;0,006;0,003;0,0419;0,0847;4,4622;10,41;10,36540031
2238,3248;12,391;2,6154;68,3801;14,8299;0,1643;0,0057;0,0028;0,0423;0,0868;4,3767;11,2109;10,98130035
2238,4772;12,366;2,6301;67,7541;15,9516;0,1424;0,0053;0,0026;0,0414;0,0912;4,1341;13,4263;13,9847002
2238,6296;12,3535;2,6186;67,2366;16,6086;0,1375;0,0056;0,0031;0,0359;0,0929;3,9077;16,1666;15,33899975
2238,782;12,3416;2,6035;70,233;16,407;0,1487;0,0056;0,0028;0,0295;0,0888;3,8727;16,4382;16,68479919
2238,9344;12,3809;2,5989;71,6752;18,0123;0,1544;0,0065;0,0037;0,033;0,0857;3,9769;14,1712;14,77719975
2239,0868;12,3462;2,6079;70,1496;18,6542;0,1583;0,0075;0,0045;0,0371;0,0805;4,0727;13,0562;13,63969994
2239,2392;12,3166;2,6123;67,4408;18,8672;0,1475;0,0082;0,004;0,0413;0,0686;4,0735;12,4214;13,31840038
2239,3916;12,324;2,5926;66,0432;17,9169;0,1308;0,0072;0,0027;0,0401;0,0636;4,0631;12,8677;13,02810001
