DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2276,8016;8,644;2,5488;59,6364;105,5455;23,6583;0,0998;0,0569;2,1273;0,0853;0,0854;5,651;310,7187;334,0517
2276,954;8,6796;2,5673;58,6364;104,0909;26,4867;0,1028;0,0567;2,1675;0,0834;0,0835;5,6092;270,5157;389,8207
2277,1064;8,6474;2,5699;58;103;26,238;0,113;0,0573;2,4338;0,0818;0,082;5,5672;219,3205;237,0429
2277,2588;8,5277;2,5725;59,1818;104,1818;24,6202;0,1072;0,0643;5,6451;0,0829;0,0829;5,4952;258,9565;217,7916
2277,4112;8,5174;2,5833;59;103,5455;21,8049;0,0906;0,0659;8,6946;0,0803;0,0803;5,3766;427,5851;346,9182
2277,5636;8,5165;2,6099;57,8182;101,6364;20,2773;0,0692;0,0517;2,4979;0,0658;0,0658;5,2428;567,3017;393,2554
2277,716;8,5025;2,6396;56,1818;99;20,6655;0,0526;0,0423;0,8653;0,0571;0,0571;5,0287;403,5602;825,0969
2277,8684;8,5201;2,6726;53,5455;93;20,2333;0,0438;0,03;0,1515;0,0469;0,0472;4,6931;355,4283;379,8969
2278,0208;8,5641;2,6832;53;89,5455;23,9792;0,0374;0,0179;0,0167;0,0371;0,0391;4,3682;299,4697;350,265
2278,1732;8,5745;2,6748;53,1818;89,1818;28,7731;0,0342;0,0166;0,0125;0,0353;0,0369;4,2901;227,3166;215,3403
2278,3256;8,5602;2,6578;53;90;40,5772;0,037;0,0227;0,0436;0,0391;0,0414;4,5228;156,3339;156,3525
2278,478;8,5514;2,6615;53;91,1818;44,7765;0,0513;0,0301;0,1505;0,0437;0,0477;4,8301;102,1243;109,9066
2278,6304;8,5502;2,6697;52,6364;92,1818;39,9392;0,0604;0,0479;1,1745;0,0617;0,0687;5,0063;89,3176;102,4679
2278,7828;8,5578;2,6662;54,2727;94,1818;27,464;0,0728;0,0671;5,5185;0,0855;0,0906;4,9871;103,5199;115,2441
2278,9352;8,4885;2,6285;57;98,3636;19,3078;0,08;0,0794;11,6115;0,1031;0,1052;4,9214;126,9823;139,2796
2279,0876;8,4994;2,585;59,1818;101,8182;18,7986;0,097;0,0825;12,4142;0,1079;0,1117;4,863;164,4845;170,2185
2279,24;8,5177;2,5591;59,6364;102,5455;20,1312;0,102;0,0832;11,6133;0,1092;0,1161;4,8626;186,9139;199,5849
2279,3924;8,5362;2,5549;59,1818;102,5455;20,6817;0,1009;0,0865;12,9943;0,109;0,1225;4,8807;223,271;249,6115
2279,5448;8,525;2,555;59;103,4545;21,1005;0,1045;0,0961;21,8488;0,1129;0,1317;4,8847;337,8918;439,226
2279,6972;8,531;2,5358;59,9091;105,8182;21,8047;0,1173;0,1021;30,481;0,1164;0,1366;4,8904;441,0638;353,9427
2279,8496;8,5332;2,5114;61,7273;109,2727;21,824;0,131;0,1053;37,1108;0,1193;0,1385;4,9726;559,9256;483,0902
2280,002;8,5271;2,4956;62,6364;111,2727;20,6415;0,1367;0,1122;56,1603;0,1253;0,1426;5,1476;833,5753;714,2982
2280,1544;8,5322;2,5024;62,8182;112,6364;19,0243;0,1272;0,1148;65,0787;0,1281;0,1445;5,3893;1726,2092;968,816
2280,3068;8,5435;2,5276;61,8182;110,3636;20,0233;0,1095;0,1041;34,2455;0,1205;0,1379;5,572;1701,1108;893,4539
2280,4592;8,5392;2,5669;60,5455;106,4545;22,3996;0,0936;0,0794;8,4177;0,1013;0,1166;5,6127;672,1814;367,5914
2280,6116;8,5086;2,6025;59,8182;104;25,4595;0,0972;0,0564;1,9638;0,0816;0,0866;5,5263;234,7726;216,6765
2280,764;8,5204;2,6303;58,5455;100,5455;30,1894;0,1003;0,0478;0,9556;0,0739;0,0763;5,3311;137,3929;121,6084
2280,9164;8,5456;2,6419;58;100,1818;32,5656;0,0964;0,039;0,3972;0,066;0,066;5,1122;93,9418;90,5718
2281,0688;8,5511;2,6496;58,6364;101;38,9305;0,0905;0,0276;0,0928;0,0559;0,056;4,9114;68,4923;72,2335
2281,2212;8,5757;2,6529;58,5455;101;42,3332;0,0878;0,02;0,029;0,0526;0,0535;4,8569;55,6489;56,0858
2281,3736;8,6261;2,6529;58,4545;101,5455;44,1906;0,0864;0,0167;0,0191;0,0518;0,0596;4,9434;47,4146;42,9485
2281,526;8,6571;2,6549;57,6364;100,7273;41,1355;0,0824;0,0213;0,0384;0,0517;0,0587;5,0731;65,129;51,871
2281,6784;8,6583;2,6572;56;99;38,4341;0,0826;0,0261;0,0752;0,0515;0,0576;5,1961;87,4421;74,0522
2281,8308;8,6489;2,6551;55,8182;98,1818;34,5145;0,0824;0,0389;0,4321;0,0584;0,0606;5,3041;129,1649;133,2184
