DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2195,5832;12,2277;2,7747;52,6577;94,8661;27,6779;0,0082;0,0201;0,0754;0,0246;0,0251;4,0327;1950;1689,0942
2195,7356;12,2216;2,7554;52,2316;95,7084;26,9486;0,0064;0,0199;0,0286;0,0274;0,0318;3,8927;1950;1950
2195,888;12,2217;2,7584;51,9708;96,1753;25,5748;0,0061;0,0232;0,0472;0,0339;0,0416;3,8191;1950;1920,7676
2196,0404;12,2206;2,7684;51,7345;96,4239;24,4855;0,0076;0,0253;0,0671;0,0391;0,0504;3,8498;1950;1573,5052
2196,1928;12,2231;2,7704;51,5259;96,3871;24,1495;0,0119;0,0274;0,091;0,0441;0,0527;3,9597;1950;1376,5061
2196,3452;12,2183;2,712;51,2653;96,3411;26,8686;0,0238;0,0278;0,097;0,0473;0,054;4,1094;1950;1323,2639
2196,4976;12,2204;2,6497;51,1005;96,2758;31,3559;0,0499;0,023;0,0463;0,0407;0,0519;4,2379;1950;1261,7595
2196,65;12,2201;2,6726;51,1419;96,336;36,0867;0,0552;0,0229;0,0447;0,0358;0,0477;4,3399;1950;1163,0719
2196,8024;12,2205;2,7215;51,4643;96,371;35,9275;0,041;0,0267;0,0842;0,0395;0,0509;4,3843;1950;1130,5653
2196,9548;12,2184;2,7589;52,0155;96,437;33,3677;0,0234;0,0313;0,1827;0,0453;0,059;4,3415;1950;1121,0563
2197,1072;12,217;2,743;52,6271;96,6486;32,8782;0,0331;0,0429;0,643;0,0693;0,0684;4,2239;1950;1079,5151
2197,2596;12,2178;2,667;53,3809;97,0494;35,4152;0,0669;0,0541;1,5892;0,0857;0,0841;4,0882;1950;968,6132
2197,412;12,2298;2,6329;54,0526;97,76;37,5796;0,0936;0,0582;2,2588;0,0885;0,088;4,0048;1950;1058,1808
2197,5644;12,2509;2,6146;54,7616;98,4137;34,9525;0,0939;0,0587;2,5303;0,0862;0,0845;3,9873;1950;1161,0427
2197,7168;12,2536;2,663;55,6856;99,3103;31,0047;0,0728;0,0597;3,0241;0,0839;0,084;4,0344;1950;1185,2599
2197,8692;12,2524;2,6674;56,4054;100,1753;27,8023;0,0563;0,0637;5,0232;0,0816;0,084;4,16;1950;1156,9363
2198,0216;12,25;2,6572;57,2144;101,2735;25,9025;0,0615;0,0675;7,9737;0,0828;0,0846;4,2614;1950;1130,3535
2198,174;12,25;2,6458;57,2119;101,9153;26,1588;0,0804;0,061;5,1273;0,0768;0,0774;4,3061;1950;1113,8558
2198,3264;12,2463;2,6369;56,4786;102,1811;26,7196;0,0973;0,0542;2,5194;0,0721;0,0684;4,2489;1950;1037,2732
2198,4788;12,2378;2,6603;55,2459;101,9607;24,8206;0,0894;0,0471;1,1808;0,0672;0,0642;4,1977;1950;1051,5491
2198,6312;12,2324;2,6564;54,0157;101,3784;22,0715;0,0698;0,0363;0,3152;0,0599;0,0604;4,2002;1950;1157,2064
2198,7836;12,2275;2,6441;52,8338;100,659;19,9561;0,0482;0,0286;0,1072;0,0535;0,0561;4,2874;1950;1286,7589
2198,936;12,23;2,6778;52,0561;99,7155;20,8326;0,0368;0,0269;0,0838;0,0491;0,0562;4,4104;1950;1391,3256
2199,0884;12,2293;2,7136;51,504;98,6267;21,072;0,0245;0,0289;0,1118;0,0501;0,0593;4,4798;1950;1366,9984
2199,2408;12,2313;2,71;51,7175;97,5783;21,9867;0,0177;0,0313;0,1586;0,0518;0,0622;4,5399;1950;1322,359
2199,3932;12,2497;2,6791;52,0402;96,4994;24,1455;0,0185;0,0368;0,3036;0,0597;0,065;4,6322;1950;1276,5747
2199,5456;12,2821;2,6759;52,3901;96,1577;28,802;0,0245;0,0372;0,3168;0,0663;0,0669;4,7943;1950;1208,2067
2199,698;12,331;2,6562;52,9154;96,438;31,4203;0,0336;0,0324;0,1787;0,0616;0,0617;4,8526;1950;1135,6904
2199,8504;12,3735;2,6493;54,026;97,9517;33,4189;0,0386;0,0304;0,1389;0,0555;0,0512;4,7883;1950;1122,354
2200,0028;12,3634;2,6529;56,3104;101,0585;31,2274;0,0382;0,0286;0,116;0,049;0,0457;4,6074;1950;1267,7468
2200,1552;12,2969;2,6908;58,9171;105,6906;29,5681;0,0279;0,0297;0,2438;0,0397;0,0412;4,4499;1950;1478,0841
2200,3076;12,2199;2,7136;62,0116;111,3581;25,5482;0,0202;0,0345;0,8931;0,0406;0,0406;4,3976;1950;1680,1653
2200,46;12,2129;2,7001;64,708;117,4142;22,9266;0,017;0,0395;1,0668;0,0485;0,0479;4,4807;1950;1671,5923
2200,6124;12,2084;2,6806;67,0384;122,2241;19,8646;0,0195;0,0409;1,1601;0,0506;0,0518;4,582;1950;1633,9077
2200,7648;12,2136;2,6713;69,0663;125,5664;19,0938;0,023;0,0414;1,1648;0,0519;0,0501;4,6243;1950;1653,5684
2200,9172;12,2222;2,6847;70,2569;127,0947;18,5277;0,0215;0,0338;0,345;0,0468;0,0477;4,5436;1950;1674,8281
2201,0696;12,2177;2,7167;70,704;127,7363;17,9145;0,0147;0,0239;0,053;0,037;0,0444;4,3595;1950;1729,1062
2201,222;12,2178;2,7378;70,3951;127,7321;16,8056;0,0092;0,0234;0,0504;0,0354;0,0468;4,1171;1950;1803,8835
2201,3744;12,2184;2,7125;69,7916;127,3066;16,8073;0,0092;0,0293;0,1283;0,0414;0,0546;4,009;1950;1878,5625
2201,5268;12,2289;2,6711;68,9219;126,7226;19,2046;0,016;0,036;0,3916;0,0485;0,0592;4,2066;1950;1934,5022
2201,6792;12,256;2,6507;67,8462;126,9346;21,3041;0,025;0,048;1,5348;0,0632;0,0633;4,6383;1950;1950
2201,8316;12,3035;2,671;66,9372;126,1731;22,3086;0,0281;0,0484;1,4563;0,0645;0,066;5,0397;1950;1950
2201,984;12,3565;2,6652;66,8508;125,0973;20,571;0,0278;0,0402;0,5574;0,0516;0,0595;5,2588;1950;1950
2202,1364;12,3821;2,6596;66,9558;123,9236;19,6956;0,0254;0,0356;0,3167;0,0459;0,0511;5,2096;1950;1950
2202,2888;12,3693;2,7269;67,1519;122,9347;18,7097;0,0253;0,031;0,1689;0,0405;0,0473;4,9749;1950;1950
2202,4412;12,2718;2,7368;67,4996;121,6799;19,563;0,0239;0,0265;0,0864;0,038;0,0441;4,6529;1950;1949,6677
2202,5936;12,2489;2,6962;68,0495;121,4939;21,6004;0,024;0,0274;0,1346;0,038;0,041;4,4982;1950;1929,8748
2202,746;12,2235;2,6727;69,0899;121,2908;23,45;0,0243;0,0313;0,4083;0,0386;0,0389;4,509;1950;1941,0439
2202,8984;12,2221;2,695;70,3233;120,0783;24,3198;0,0251;0,0324;0,4467;0,0403;0,0416;4,6624;1950;1943,0181
2203,0508;12,2395;2,683;71,041;119,5931;21,7418;0,0252;0,0336;0,5044;0,0419;0,0416;4,7662;1950;1830,8572
2203,2032;12,2383;2,6626;70,2197;118,9689;19,8184;0,0232;0,0333;0,6189;0,0407;0,0412;4,7702;1950;1641,5095
2203,3556;12,2398;2,6895;67,6319;120,8385;17,9351;0,0171;0,0246;0,0714;0,0353;0,0408;4,54;1950;1458,1547
2203,508;12,2337;2,7091;65,4837;121,2797;17,5844;0,0102;0,0158;0,0114;0,031;0,042;4,178;1950;1352,1809
2203,6604;12,2412;2,7011;63,1222;120,6096;17,3142;0,0067;0,016;0,0123;0,0325;0,0461;3,8905;1950;1308,9282
2203,8128;12,2484;2,7171;61,1944;118,4731;17,458;0,0079;0,017;0,0177;0,0345;0,0508;3,8669;1950;1192,6707
